Event Winner,Podiums,Top 10s,Hot Rounds,Birdies,Eagles Or Better,Bogeys,Double or Worse,Total Score
50,50,10,20,49,1,-7,-20,153
50,0,30,10,70,19,-9,-29,141
50,25,20,0,54,7,-10,-28,118
0,25,10,5,19,0,-10,-26,23
50,25,0,20,63,0,-10,-26,122
50,25,10,15,56,4,-12,-30,118
50,25,20,10,45,1,-11,-29,111
50,25,20,5,52,3,-24,-59,72
0,0,30,10,44,3,-14,-37,36
50,25,0,10,26,18,-3,-10,116
0,25,10,5,47,1,-7,-19,62
0,50,10,5,52,1,-10,-28,80
50,25,0,10,40,8,-7,-17,109
50,25,0,10,24,0,-5,-13,91
50,50,10,5,60,19,-5,-12,177
0,0,10,5,24,1,-11,-25,4
50,0,10,0,38,0,-4,-13,81
50,0,20,20,52,3,-8,-20,117
50,25,20,25,63,19,-16,-43,143
50,25,10,15,50,35,-13,-29,143
50,0,10,10,48,2,-12,-30,78
0,0,20,5,40,3,-9,-26,33
50,25,10,35,92,37,-21,-54,174
50,75,0,20,81,0,-13,-35,178
50,25,20,30,77,10,-12,-35,165
0,50,10,5,68,0,-18,-45,70
0,25,20,10,49,6,-9,-21,80
50,25,0,15,30,18,-8,-19,111
0,50,20,15,69,5,-14,-38,107
